Date,Corn - Dented,Corn - Dough,Corn - Emerged,Corn - Harvested,Corn - Mature,Corn - Planted,Corn - Silking
2023-10-01,,,,7.0,41.0,,
2023-10-08,,,,12.0,56.0,,
2023-10-15,,,,16.0,71.0,,
2023-10-22,,,,26.0,,,
2023-10-29,,,,37.0,,,
2023-11-05,,,,46.0,,,
2023-11-12,,,,56.0,,,
2023-11-19,,,,70.0,,,
2023-11-26,,,,80.0,,,
2024-04-28,,,,,,2.0,
2024-05-05,,,1.0,,,23.0,
2024-05-12,,,3.0,,,29.0,
2024-05-19,,,8.0,,,33.0,
2024-05-26,,,23.0,,,53.0,
2024-06-02,,,40.0,,,70.0,
2024-06-09,,,60.0,,,90.0,
2024-06-16,,,80.0,,,,
2024-06-23,,,94.0,,,,
2024-07-07,,,,,,,5.0
2024-07-14,,,,,,,23.0
2024-07-21,,1.0,,,,,34.0
2024-07-28,,3.0,,,,,47.0
2024-08-04,,7.0,,,,,60.0
2024-08-11,4.0,26.0,,,,,78.0
2024-08-18,9.0,41.0,,,,,84.0
2024-08-25,21.0,55.0,,,1.0,,
2024-09-01,41.0,71.0,,,3.0,,
2024-09-08,57.0,84.0,,,4.0,,
2024-09-15,65.0,,,1.0,13.0,,
2024-09-22,75.0,,,1.0,28.0,,
2024-09-29,90.0,,,3.0,42.0,,
2024-10-06,,,,6.0,51.0,,
2024-10-13,,,,20.0,60.0,,
2024-10-20,,,,41.0,78.0,,
2024-10-27,,,,50.0,,,
2024-11-03,,,,60.0,,,
2024-11-10,,,,67.0,,,
2025-04-20,,,,,,1.0,
2025-04-27,,,,,,2.0,
2025-05-04,,,1.0,,,15.0,
2025-05-11,,,3.0,,,32.0,
2025-05-18,,,17.0,,,40.0,
2025-05-25,,,26.0,,,51.0,
2025-06-01,,,41.0,,,64.0,
2025-06-08,,,56.0,,,82.0,
2025-06-15,,,72.0,,,,
2025-06-22,,,84.0,,,,
2025-07-06,,,,,,,2.0
2025-07-13,,,,,,,11.0
2025-07-20,,2.0,,,,,27.0
2025-07-27,,7.0,,,,,47.0
2025-08-03,,27.0,,,,,67.0
2025-08-10,,33.0,,,,,85.0
2025-08-17,5.0,43.0,,,,,95.0
2025-08-24,11.0,56.0,,,3.0,,
2025-08-31,36.0,63.0,,,4.0,,
2025-09-07,46.0,73.0,,,14.0,,
2025-09-14,52.0,,,,24.0,,
2025-09-21,72.0,,,3.0,39.0,,
2025-09-28,85.0,,,6.0,44.0,,
