Date,Corn - Dented,Corn - Dough,Corn - Emerged,Corn - Harvested,Corn - Mature,Corn - Planted,Corn - Silking,Soybeans - Blooming,Soybeans - Dropping,Soybeans - Emerged,Soybeans - Harvested,Soybeans - Planted,Soybeans - Setting,Spring Wheat - Emerged,Spring Wheat - Harvested,Spring Wheat - Headed,Spring Wheat - Planted
2016-09-25,95.0,,,3.0,59.0,,,,87.0,,12.0,,,,,,
2016-10-02,,,,6.0,77.0,,,,97.0,,46.0,,,,,,
2016-10-09,,,,10.0,90.0,,,,99.0,,74.0,,,,,,
2016-10-16,,,,21.0,94.0,,,,100.0,,86.0,,,,,,
2016-10-23,,,,39.0,,,,,,,94.0,,,,,,
2016-10-30,,,,52.0,,,,,,,97.0,,,,,,
2016-11-06,,,,71.0,,,,,,,98.0,,,,,,
2016-11-13,,,,85.0,,,,,,,99.0,,,,,,
2016-11-20,,,,93.0,,,,,,,,,,,,,
2017-04-09,,,,,,,,,,,,,,,,,2.0
2017-04-16,,,,,,,,,,,,,,,,,6.0
2017-04-23,,,,,,1.0,,,,,,,,2.0,,,9.0
2017-04-30,,,,,,3.0,,,,,,,,2.0,,,18.0
2017-05-07,,,,,,23.0,,,,,,4.0,,11.0,,,45.0
2017-05-14,,,8.0,,,58.0,,,,1.0,,29.0,,31.0,,,72.0
2017-05-21,,,38.0,,,82.0,,,,10.0,,57.0,,56.0,,,88.0
2017-05-28,,,66.0,,,94.0,,,,26.0,,83.0,,77.0,,,96.0
2017-06-04,,,86.0,,,99.0,,,,57.0,,94.0,,92.0,,,
2017-06-11,,,94.0,,,,,,,84.0,,98.0,,98.0,,,
2017-06-18,,,98.0,,,,,,,95.0,,100.0,,,,9.0,
2017-06-25,,,,,,,,1.0,,97.0,,,,,,33.0,
2017-07-02,,,,,,,2.0,8.0,,99.0,,,,,,57.0,
2017-07-09,,,,,,,4.0,24.0,,,,,1.0,,,79.0,
2017-07-16,,,,,,,11.0,40.0,,,,,5.0,,,92.0,
2017-07-23,,,,,,,29.0,65.0,,,,,18.0,,,97.0,
2017-07-30,,3.0,,,,,63.0,79.0,,,,,49.0,,5.0,,
2017-08-06,,20.0,,,,,85.0,90.0,,,,,60.0,,16.0,,
2017-08-13,1.0,37.0,,,,,94.0,94.0,,,,,78.0,,36.0,,
2017-08-20,6.0,50.0,,,,,,96.0,,,,,88.0,,52.0,,
2017-08-27,18.0,73.0,,,1.0,,,,13.0,,,,94.0,,71.0,,
2017-09-03,31.0,87.0,,,3.0,,,,25.0,,,,97.0,,85.0,,
2017-09-10,56.0,94.0,,,4.0,,,,46.0,,,,,,94.0,,
2017-09-17,77.0,,,,17.0,,,,73.0,,2.0,,,,,,
2017-09-24,88.0,,,1.0,30.0,,,,88.0,,9.0,,,,,,
2017-10-01,93.0,,,2.0,47.0,,,,93.0,,18.0,,,,,,
2017-10-08,,,,4.0,62.0,,,,97.0,,44.0,,,,,,
2017-10-15,,,,8.0,80.0,,,,100.0,,72.0,,,,,,
2017-10-22,,,,17.0,93.0,,,,100.0,,89.0,,,,,,
2017-10-29,,,,37.0,,,,,,,96.0,,,,,,
2017-11-05,,,,59.0,,,,,,,98.0,,,,,,
2017-11-12,,,,76.0,,,,,,,99.0,,,,,,
2017-11-19,,,,86.0,,,,,,,100.0,,,,,,
2017-11-26,,,,94.0,,,,,,,,,,,,,
2018-04-29,,,,,,,,,,,,,,,,,3.0
2018-05-06,,,,,,7.0,,,,,,1.0,,,,,20.0
2018-05-13,,,1.0,,,35.0,,,,,,12.0,,8.0,,,52.0
2018-05-20,,,8.0,,,62.0,,,,1.0,,33.0,,30.0,,,78.0
2018-05-27,,,34.0,,,87.0,,,,20.0,,72.0,,58.0,,,91.0
2018-06-03,,,66.0,,,95.0,,,,46.0,,88.0,,80.0,,,97.0
2018-06-10,,,89.0,,,,,,,75.0,,97.0,,95.0,,,
2018-06-17,,,96.0,,,,,,,88.0,,100.0,,98.0,,2.0,
2018-06-24,,,,,,,,1.0,,97.0,,,,,,27.0,
2018-07-01,,,,,,,,11.0,,,,,,,,58.0,
2018-07-08,,,,,,,6.0,42.0,,,,,2.0,,,81.0,
2018-07-15,,,,,,,33.0,67.0,,,,,19.0,,,94.0,
2018-07-22,,,,,,,63.0,86.0,,,,,44.0,,,97.0,
2018-07-29,,11.0,,,,,86.0,95.0,,,,,68.0,,1.0,,
2018-08-05,,32.0,,,,,95.0,97.0,,,,,84.0,,8.0,,
2018-08-12,6.0,63.0,,,,,,99.0,,,,,89.0,,29.0,,
2018-08-19,29.0,84.0,,,,,,,,,,,97.0,,59.0,,
2018-08-26,47.0,92.0,,,3.0,,,,26.0,,,,99.0,,77.0,,
2018-09-02,70.0,96.0,,,11.0,,,,37.0,,,,,,88.0,,
2018-09-09,84.0,,,,26.0,,,,57.0,,,,,,94.0,,
2018-09-16,92.0,,,1.0,46.0,,,,81.0,,10.0,,,,97.0,,
2018-09-23,96.0,,,4.0,65.0,,,,92.0,,21.0,,,,,,
2018-09-30,,,,6.0,85.0,,,,97.0,,30.0,,,,,,
2018-10-07,,,,8.0,93.0,,,,99.0,,34.0,,,,,,
2018-10-14,,,,12.0,96.0,,,,100.0,,37.0,,,,,,
2018-10-21,,,,21.0,,,,,,,53.0,,,,,,
2018-10-28,,,,36.0,,,,,,,78.0,,,,,,
2018-11-04,,,,49.0,,,,,,,86.0,,,,,,
2018-11-11,,,,62.0,,,,,,,91.0,,,,,,
2018-11-18,,,,71.0,,,,,,,93.0,,,,,,
2018-11-25,,,,80.0,,,,,,,94.0,,,,,,
2019-04-28,,,,,,1.0,,,,,,,,,,,5.0
2019-05-05,,,,,,3.0,,,,,,1.0,,,,,13.0
2019-05-12,,,,,,11.0,,,,,,5.0,,2.0,,,37.0
2019-05-19,,,1.0,,,42.0,,,,,,24.0,,18.0,,,66.0
2019-05-26,,,8.0,,,63.0,,,,4.0,,46.0,,45.0,,,82.0
2019-06-02,,,27.0,,,81.0,,,,13.0,,70.0,,69.0,,,93.0
2019-06-09,,,63.0,,,93.0,,,,43.0,,88.0,,86.0,,,98.0
2019-06-16,,,86.0,,,98.0,,,,74.0,,96.0,,96.0,,1.0,
2019-06-23,,,95.0,,,99.0,,,,92.0,,98.0,,,,2.0,
2019-06-30,,,98.0,,,,,,,96.0,,99.0,,,,19.0,
2019-07-07,,,100.0,,,,,6.0,,99.0,,100.0,,,,55.0,
2019-07-14,,,,,,,1.0,18.0,,100.0,,,,,,79.0,
2019-07-21,,,,,,,10.0,49.0,,,,,1.0,,,93.0,
2019-07-28,,,,,,,38.0,71.0,,,,,26.0,,,98.0,
2019-08-04,,1.0,,,,,70.0,85.0,,,,,43.0,,1.0,,
2019-08-11,,7.0,,,,,89.0,94.0,,,,,62.0,,5.0,,
2019-08-18,,18.0,,,,,94.0,96.0,,,,,78.0,,12.0,,
2019-08-25,5.0,47.0,,,,,,98.0,,,,,89.0,,34.0,,
2019-09-01,8.0,72.0,,,,,,99.0,,,,,93.0,,52.0,,
2019-09-08,25.0,87.0,,,1.0,,,,,,,,96.0,,68.0,,
2019-09-15,38.0,92.0,,,3.0,,,,42.0,,,,98.0,,73.0,,
2019-09-22,59.0,97.0,,,5.0,,,,67.0,,,,,,85.0,,
2019-09-29,75.0,,,,15.0,,,,86.0,,4.0,,,,89.0,,
2019-10-06,84.0,,,,22.0,,,,92.0,,8.0,,,,90.0,,
2019-10-13,92.0,,,1.0,42.0,,,,96.0,,16.0,,,,93.0,,
2019-10-20,,,,4.0,65.0,,,,100.0,,20.0,,,,95.0,,
2019-10-27,,,,6.0,77.0,,,,100.0,,29.0,,,,,,
2019-11-03,,,,10.0,95.0,,,,,,56.0,,,,,,
2019-11-10,,,,15.0,,,,,,,74.0,,,,,,
2019-11-17,,,,23.0,,,,,,,84.0,,,,,,
2019-11-24,,,,30.0,,,,,,,89.0,,,,,,
2019-12-01,,,,36.0,,,,,,,92.0,,,,,,
2019-12-08,,,,43.0,,,,,,,,,,,,,
2020-04-26,,,,,,,,,,,,,,,,,5.0
2020-05-03,,,,,,4.0,,,,,,1.0,,,,,15.0
2020-05-10,,,,,,7.0,,,,,,4.0,,4.0,,,27.0
2020-05-17,,,1.0,,,20.0,,,,,,9.0,,13.0,,,41.0
2020-05-24,,,12.0,,,54.0,,,,4.0,,29.0,,32.0,,,70.0
2020-05-31,,,26.0,,,75.0,,,,12.0,,51.0,,52.0,,,85.0
2020-06-07,,,52.0,,,87.0,,,,32.0,,74.0,,72.0,,,95.0
2020-06-14,,,74.0,,,,,,,59.0,,90.0,,93.0,,1.0,
2020-06-21,,,,,,,,,,79.0,,95.0,,,,6.0,
2020-06-28,,,,,,,,1.0,,89.0,,,,,,30.0,
2020-07-05,,,,,,,,9.0,,,,,,,,59.0,
2020-07-12,,,,,,,1.0,31.0,,,,,2.0,,,79.0,
2020-07-19,,,,,,,18.0,57.0,,,,,10.0,,,93.0,
2020-07-26,,2.0,,,,,56.0,71.0,,,,,30.0,,1.0,97.0,
2020-08-02,,7.0,,,,,80.0,81.0,,,,,55.0,,2.0,,
2020-08-09,,20.0,,,,,92.0,92.0,,,,,71.0,,7.0,,
2020-08-16,1.0,38.0,,,,,,97.0,,,,,83.0,,19.0,,
2020-08-23,8.0,62.0,,,,,,,7.0,,,,93.0,,39.0,,
2020-08-30,26.0,79.0,,,,,,,16.0,,,,97.0,,59.0,,
2020-09-06,52.0,95.0,,,6.0,,,,34.0,,,,,,76.0,,
2020-09-13,68.0,,,,18.0,,,,57.0,,,,,,90.0,,
2020-09-20,81.0,,,3.0,39.0,,,,75.0,,8.0,,,,95.0,,
2020-09-27,,,,4.0,58.0,,,,88.0,,27.0,,,,,,
2020-10-04,,,,11.0,78.0,,,,94.0,,60.0,,,,,,
2020-10-11,,,,25.0,93.0,,,,97.0,,83.0,,,,,,
2020-10-18,,,,55.0,97.0,,,,100.0,,92.0,,,,,,
2020-10-25,,,,73.0,,,,,,,97.0,,,,,,
2020-11-01,,,,84.0,,,,,,,100.0,,,,,,
2020-11-08,,,,93.0,,,,,,,100.0,,,,,,
2020-11-15,,,,97.0,,,,,,,100.0,,,,,,
2021-04-04,,,,,,,,,,,,,,,,,1.0
2021-04-11,,,,,,2.0,,,,,,,,,,,8.0
2021-04-18,,,,,,3.0,,,,,,,,,,,13.0
2021-04-25,,,,,,3.0,,,,,,,,2.0,,,22.0
2021-05-02,,,,,,14.0,,,,,,2.0,,6.0,,,42.0
2021-05-09,,,,,,36.0,,,,,,17.0,,20.0,,,66.0
2021-05-16,,,8.0,,,63.0,,,,1.0,,53.0,,36.0,,,84.0
2021-05-23,,,41.0,,,84.0,,,,19.0,,75.0,,58.0,,,94.0
2021-05-30,,,63.0,,,93.0,,,,45.0,,88.0,,76.0,,,97.0
2021-06-06,,,73.0,,,,,,,65.0,,95.0,,87.0,,,
2021-06-13,,,90.0,,,,,,,83.0,,97.0,,94.0,,2.0,
2021-06-20,,,,,,,,,,93.0,,100.0,,,,18.0,
2021-06-27,,,,,,,,2.0,,96.0,,,,,,42.0,
2021-07-04,,,,,,,,14.0,,,,,,,,68.0,
2021-07-11,,,,,,,8.0,33.0,,,,,1.0,,,84.0,
2021-07-18,,,,,,,22.0,56.0,,,,,14.0,,,93.0,
2021-07-25,,,,,,,52.0,77.0,,,,,37.0,,,97.0,
2021-08-01,,8.0,,,,,69.0,88.0,,,,,58.0,,6.0,,
2021-08-08,,20.0,,,,,86.0,92.0,,,,,73.0,,24.0,,
2021-08-15,3.0,46.0,,,,,,95.0,,,,,85.0,,48.0,,
2021-08-22,23.0,75.0,,,2.0,,,100.0,9.0,,,,93.0,,73.0,,
2021-08-29,45.0,89.0,,,5.0,,,,24.0,,,,95.0,,84.0,,
2021-09-05,63.0,94.0,,,12.0,,,,44.0,,,,98.0,,94.0,,
2021-09-12,77.0,,,,22.0,,,,67.0,,,,,,,,
2021-09-19,90.0,,,3.0,43.0,,,,80.0,,11.0,,,,,,
2021-09-26,96.0,,,9.0,65.0,,,,91.0,,26.0,,,,,,
2021-10-03,,,,18.0,82.0,,,,97.0,,48.0,,,,,,
2021-10-10,,,,29.0,93.0,,,,100.0,,73.0,,,,,,
2021-10-17,,,,42.0,97.0,,,,100.0,,81.0,,,,,,
2021-10-24,,,,55.0,,,,,,,91.0,,,,,,
2021-10-31,,,,69.0,,,,,,,95.0,,,,,,
2021-11-07,,,,82.0,,,,,,,98.0,,,,,,
2021-11-14,,,,90.0,,,,,,,100.0,,,,,,
2021-11-21,,,,95.0,,,,,,,100.0,,,,,,
2022-04-10,,,,,,,,,,,,,,,,,2.0
2022-04-17,,,,,,,,,,,,,,,,,3.0
2022-04-24,,,,,,,,,,,,,,,,,4.0
2022-05-01,,,,,,,,,,,,,,,,,5.0
2022-05-08,,,,,,1.0,,,,,,,,,,,8.0
2022-05-15,,,,,,4.0,,,,,,2.0,,2.0,,,17.0
2022-05-22,,,1.0,,,20.0,,,,,,7.0,,9.0,,,27.0
2022-05-29,,,7.0,,,56.0,,,,1.0,,23.0,,22.0,,,59.0
2022-06-05,,,22.0,,,81.0,,,,4.0,,41.0,,34.0,,,74.0
2022-06-12,,,50.0,,,90.0,,,,24.0,,75.0,,56.0,,,91.0
2022-06-19,,,68.0,,,,,,,58.0,,92.0,,80.0,,,97.0
2022-06-26,,,,,,,,,,80.0,,97.0,,97.0,,3.0,
2022-07-03,,,,,,,2.0,8.0,,97.0,,,,,,12.0,
2022-07-10,,,,,,,10.0,22.0,,,,,,,,38.0,
2022-07-17,,,,,,,18.0,40.0,,,,,2.0,,,63.0,
2022-07-24,,,,,,,28.0,66.0,,,,,11.0,,,81.0,
2022-07-31,,7.0,,,,,59.0,86.0,,,,,38.0,,,95.0,
2022-08-07,,17.0,,,,,80.0,93.0,,,,,57.0,,,,
2022-08-14,1.0,40.0,,,,,91.0,97.0,,,,,68.0,,5.0,,
2022-08-21,6.0,61.0,,,,,95.0,100.0,,,,,86.0,,18.0,,
2022-08-28,18.0,77.0,,,,,,,4.0,,,,95.0,,34.0,,
2022-09-04,45.0,88.0,,,1.0,,,,18.0,,,,98.0,,62.0,,
2022-09-11,60.0,92.0,,,12.0,,,,37.0,,,,100.0,,79.0,,
2022-09-18,76.0,,,,26.0,,,,57.0,,4.0,,,,91.0,,
2022-09-25,88.0,,,,36.0,,,,72.0,,5.0,,,,93.0,,
2022-10-02,94.0,,,3.0,66.0,,,,89.0,,26.0,,,,,,
2022-10-09,,,,12.0,86.0,,,,97.0,,53.0,,,,,,
2022-10-16,,,,25.0,93.0,,,,100.0,,76.0,,,,,,
2022-10-23,,,,48.0,97.0,,,,,,92.0,,,,,,
2022-10-30,,,,74.0,,,,,,,99.0,,,,,,
2022-11-06,,,,91.0,,,,,,,100.0,,,,,,
2022-11-13,,,,96.0,,,,,,,100.0,,,,,,
2022-11-20,,,,98.0,,,,,,,,,,,,,
2023-04-23,,,,,,,,,,,,,,,,,1.0
2023-04-30,,,,,,,,,,,,,,,,,6.0
2023-05-07,,,,,,1.0,,,,,,,,,,,10.0
2023-05-14,,,,,,5.0,,,,,,2.0,,2.0,,,20.0
2023-05-21,,,4.0,,,32.0,,,,1.0,,20.0,,13.0,,,48.0
2023-05-28,,,19.0,,,72.0,,,,12.0,,53.0,,41.0,,,79.0
2023-06-04,,,47.0,,,91.0,,,,32.0,,79.0,,66.0,,,92.0
2023-06-11,,,75.0,,,,,,,60.0,,94.0,,86.0,,,97.0
2023-06-18,,,91.0,,,,,,,84.0,,,,98.0,,7.0,
2023-06-25,,,,,,,,1.0,,99.0,,,,,,23.0,
2023-07-02,,,,,,,3.0,10.0,,,,,,,,47.0,
2023-07-09,,,,,,,9.0,37.0,,,,,6.0,,,65.0,
2023-07-16,,,,,,,20.0,47.0,,,,,14.0,,,79.0,
2023-07-23,,2.0,,,,,45.0,72.0,,,,,33.0,,,92.0,
2023-07-30,,4.0,,,,,73.0,87.0,,,,,43.0,,,97.0,
2023-08-06,,15.0,,,,,91.0,93.0,,,,,70.0,,2.0,,
2023-08-13,1.0,35.0,,,,,96.0,97.0,,,,,86.0,,13.0,,
2023-08-20,9.0,59.0,,,,,,99.0,,,,,91.0,,24.0,,
2023-08-27,30.0,82.0,,,,,,,4.0,,,,95.0,,38.0,,
2023-09-03,52.0,89.0,,,1.0,,,,24.0,,,,97.0,,64.0,,
2023-09-10,67.0,96.0,,,7.0,,,,47.0,,,,,,82.0,,
2023-09-17,86.0,,,,23.0,,,,69.0,,4.0,,,,91.0,,
2023-09-24,95.0,,,3.0,51.0,,,,85.0,,10.0,,,,95.0,,
2023-10-01,,,,8.0,73.0,,,,92.0,,23.0,,,,,,
2023-10-08,,,,14.0,88.0,,,,95.0,,41.0,,,,,,
2023-10-15,,,,27.0,96.0,,,,98.0,,66.0,,,,,,
2023-10-22,,,,45.0,,,,,,,85.0,,,,,,
2023-10-29,,,,57.0,,,,,,,95.0,,,,,,
2023-11-05,,,,67.0,,,,,,,95.0,,,,,,
2023-11-12,,,,76.0,,,,,,,97.0,,,,,,
2023-11-19,,,,87.0,,,,,,,,,,,,,
2023-11-26,,,,93.0,,,,,,,,,,,,,
2024-04-14,,,,,,,,,,,,,,,,,3.0
2024-04-21,,,,,,,,,,,,,,,,,7.0
2024-04-28,,,,,,6.0,,,,,,,,1.0,,,20.0
2024-05-05,,,,,,11.0,,,,,,3.0,,5.0,,,32.0
2024-05-12,,,1.0,,,22.0,,,,,,7.0,,13.0,,,49.0
2024-05-19,,,13.0,,,51.0,,,,1.0,,33.0,,29.0,,,71.0
2024-05-26,,,27.0,,,75.0,,,,9.0,,52.0,,48.0,,,84.0
2024-06-02,,,45.0,,,86.0,,,,23.0,,66.0,,70.0,,,91.0
2024-06-09,,,69.0,,,93.0,,,,45.0,,81.0,,81.0,,,97.0
2024-06-16,,,88.0,,,,,,,72.0,,93.0,,94.0,,,
2024-06-23,,,96.0,,,,,,,88.0,,97.0,,,,11.0,
2024-06-30,,,,,,,1.0,2.0,,95.0,,,,,,29.0,
2024-07-07,,,,,,,3.0,9.0,,,,,,,,49.0,
2024-07-14,,,,,,,4.0,29.0,,,,,2.0,,,70.0,
2024-07-21,,,,,,,10.0,39.0,,,,,7.0,,,85.0,
2024-07-28,,1.0,,,,,40.0,61.0,,,,,21.0,,,92.0,
2024-08-04,,11.0,,,,,76.0,73.0,,,,,39.0,,1.0,97.0,
2024-08-11,,20.0,,,,,90.0,83.0,,,,,56.0,,12.0,,
2024-08-18,,33.0,,,,,96.0,91.0,,,,,64.0,,21.0,,
2024-08-25,5.0,49.0,,,,,,,1.0,,,,77.0,,43.0,,
2024-09-01,18.0,60.0,,,,,,,7.0,,,,88.0,,61.0,,
2024-09-08,34.0,73.0,,,3.0,,,,15.0,,,,94.0,,79.0,,
2024-09-15,59.0,,,,5.0,,,,39.0,,1.0,,,,88.0,,
2024-09-22,72.0,,,,15.0,,,,65.0,,8.0,,,,93.0,,
2024-09-29,87.0,,,1.0,39.0,,,,87.0,,23.0,,,,,,
2024-10-06,,,,8.0,65.0,,,,95.0,,52.0,,,,,,
2024-10-13,,,,19.0,88.0,,,,99.0,,76.0,,,,,,
2024-10-20,,,,47.0,95.0,,,,,,89.0,,,,,,
2024-10-27,,,,71.0,,,,,,,95.0,,,,,,
2024-11-03,,,,85.0,,,,,,,98.0,,,,,,
2024-11-10,,,,90.0,,,,,,,100.0,,,,,,
2025-04-06,,,,,,,,,,,,,,,,,1.0
2025-04-13,,,,,,,,,,,,,,,,,3.0
2025-04-20,,,,,,,,,,,,,,1.0,,,10.0
2025-04-27,,,,,,7.0,,,,,,2.0,,2.0,,,19.0
2025-05-04,,,1.0,,,17.0,,,,,,10.0,,8.0,,,35.0
2025-05-11,,,5.0,,,41.0,,,,1.0,,26.0,,20.0,,,58.0
2025-05-18,,,25.0,,,69.0,,,,7.0,,46.0,,39.0,,,78.0
2025-05-25,,,39.0,,,78.0,,,,12.0,,58.0,,53.0,,,84.0
2025-06-01,,,56.0,,,89.0,,,,28.0,,80.0,,71.0,,,94.0
2025-06-08,,,76.0,,,95.0,,,,53.0,,90.0,,82.0,,,
2025-06-15,,,89.0,,,,,,,71.0,,96.0,,92.0,,1.0,
2025-06-22,,,94.0,,,,,,,86.0,,100.0,,97.0,,10.0,
2025-06-29,,,,,,,1.0,5.0,,93.0,,,,100.0,,32.0,
2025-07-06,,,,,,,4.0,24.0,,95.0,,,,,,60.0,
2025-07-13,,,,,,,6.0,53.0,,,,,1.0,,,81.0,
2025-07-20,,,,,,,33.0,74.0,,,,,8.0,,,91.0,
2025-07-27,,3.0,,,,,54.0,85.0,,,,,35.0,,,96.0,
2025-08-03,1.0,17.0,,,,,75.0,92.0,,,,,61.0,,1.0,98.0,
2025-08-10,7.0,36.0,,,,,90.0,96.0,,,,,74.0,,9.0,,
2025-08-17,11.0,45.0,,,,,95.0,98.0,,,,,87.0,,24.0,,
2025-08-24,16.0,62.0,,,,,,,1.0,,,,94.0,,40.0,,
2025-08-31,31.0,77.0,,,2.0,,,,7.0,,,,96.0,,62.0,,
2025-09-07,50.0,90.0,,,8.0,,,,15.0,,,,98.0,,78.0,,
2025-09-14,62.0,,,,12.0,,,,45.0,,,,,,92.0,,
2025-09-21,73.0,,,,19.0,,,,56.0,,1.0,,,,94.0,,
2025-09-28,87.0,,,,41.0,,,,83.0,,8.0,,,,,,
