Date,Soybeans - Blooming,Soybeans - Dropping,Soybeans - Emerged,Soybeans - Harvested,Soybeans - Planted,Soybeans - Setting
2019-11-03,,,,93.0,,
2019-11-10,,,,95.0,,
2019-11-17,,,,97.0,,
2019-11-24,,,,98.0,,
2019-12-01,,,,99.0,,
2020-04-19,,,,,21.0,
2020-04-26,,,,,30.0,
2020-05-03,,,,,39.0,
2020-05-10,,,29.0,,51.0,
2020-05-17,,,41.0,,66.0,
2020-05-24,,,58.0,,78.0,
2020-05-31,,,74.0,,86.0,
2020-06-07,,,81.0,,92.0,
2020-06-14,,,91.0,,95.0,
2020-06-21,40.0,,94.0,,97.0,
2020-06-28,47.0,,96.0,,,
2020-07-05,64.0,,,,,13.0
2020-07-12,73.0,,,,,26.0
2020-07-19,81.0,,,,,48.0
2020-07-26,90.0,,,,,67.0
2020-08-02,93.0,,,,,78.0
2020-08-09,96.0,,,,,86.0
2020-08-16,97.0,,,,,91.0
2020-08-23,,16.0,,,,95.0
2020-08-30,,26.0,,,,97.0
2020-09-06,,39.0,,,,
2020-09-13,,52.0,,,,
2020-09-20,,64.0,,22.0,,
2020-09-27,,74.0,,31.0,,
2020-10-04,,86.0,,45.0,,
2020-10-11,,94.0,,63.0,,
2020-10-18,,97.0,,72.0,,
2020-10-25,,,,79.0,,
2020-11-01,,,,84.0,,
2020-11-08,,,,92.0,,
2020-11-15,,,,96.0,,
2021-04-18,,,,,15.0,
2021-04-25,,,,,37.0,
2021-05-02,,,,,54.0,
2021-05-09,,,50.0,,64.0,
2021-05-16,,,61.0,,72.0,
2021-05-23,,,67.0,,83.0,
2021-05-30,,,76.0,,89.0,
2021-06-06,,,83.0,,94.0,
2021-06-13,,,92.0,,95.0,
2021-06-20,35.0,,94.0,,97.0,
2021-06-27,47.0,,96.0,,,
2021-07-04,55.0,,,,,15.0
2021-07-11,69.0,,,,,33.0
2021-07-18,77.0,,,,,48.0
2021-07-25,81.0,,,,,59.0
2021-08-01,88.0,,,,,72.0
2021-08-08,94.0,,,,,83.0
2021-08-15,97.0,,,,,92.0
2021-08-22,98.0,19.0,,,,95.0
2021-08-29,,25.0,,,,96.0
2021-09-05,,36.0,,,,97.0
2021-09-12,,53.0,,,,
2021-09-19,,63.0,,29.0,,
2021-09-26,,70.0,,36.0,,
2021-10-03,,78.0,,46.0,,
2021-10-10,,85.0,,54.0,,
2021-10-17,,90.0,,65.0,,
2021-10-24,,,,78.0,,
2021-10-31,,,,88.0,,
2021-11-07,,,,91.0,,
2021-11-14,,,,95.0,,
2021-11-21,,,,97.0,,
2022-04-17,,,,,10.0,
2022-04-24,,,,,24.0,
2022-05-01,,,,,48.0,
2022-05-08,,,40.0,,64.0,
2022-05-15,,,63.0,,80.0,
2022-05-22,,,76.0,,89.0,
2022-05-29,,,84.0,,92.0,
2022-06-05,,,90.0,,95.0,
2022-06-12,,,94.0,,98.0,
2022-06-19,,,96.0,,99.0,
2022-06-26,66.0,,97.0,,100.0,
2022-07-03,75.0,,99.0,,,37.0
2022-07-10,87.0,,,,,46.0
2022-07-17,92.0,,,,,64.0
2022-07-24,94.0,,,,,81.0
2022-07-31,96.0,,,,,86.0
2022-08-07,97.0,,,,,89.0
2022-08-14,98.0,,,,,92.0
2022-08-21,99.0,,,,,95.0
2022-08-28,,23.0,,,,97.0
2022-09-04,,35.0,,,,98.0
2022-09-11,,51.0,,,,99.0
2022-09-18,,67.0,,34.0,,
2022-09-25,,81.0,,44.0,,
2022-10-02,,90.0,,51.0,,
2022-10-09,,94.0,,73.0,,
2022-10-16,,96.0,,84.0,,
2022-10-23,,,,90.0,,
2022-10-30,,,,93.0,,
2022-11-06,,,,96.0,,
2022-11-13,,,,97.0,,
2023-04-16,,,,,23.0,
2023-04-23,,,,,34.0,
2023-04-30,,,,,43.0,
2023-05-07,,,39.0,,62.0,
2023-05-14,,,60.0,,72.0,
2023-05-21,,,71.0,,80.0,
2023-05-28,,,79.0,,88.0,
2023-06-04,,,87.0,,93.0,
2023-06-11,,,91.0,,96.0,
2023-06-18,,,95.0,,,
2023-06-25,57.0,,97.0,,,
2023-07-02,78.0,,,,,38.0
2023-07-09,84.0,,,,,61.0
2023-07-16,90.0,,,,,70.0
2023-07-23,93.0,,,,,78.0
2023-07-30,96.0,,,,,85.0
2023-08-06,97.0,,,,,91.0
2023-08-13,99.0,,,,,94.0
2023-08-20,100.0,,,,,96.0
2023-08-27,,36.0,,,,98.0
2023-09-03,,58.0,,,,99.0
2023-09-10,,67.0,,,,
2023-09-17,,81.0,,42.0,,
2023-09-24,,90.0,,61.0,,
2023-10-01,,95.0,,70.0,,
2023-10-08,,97.0,,82.0,,
2023-10-15,,99.0,,88.0,,
2023-10-22,,,,95.0,,
2023-10-29,,,,97.0,,
2023-11-05,,,,98.0,,
2023-11-12,,,,99.0,,
2024-04-14,,,,,16.0,
2024-04-21,,,,,28.0,
2024-04-28,,,,,52.0,
2024-05-05,,,46.0,,67.0,
2024-05-12,,,63.0,,79.0,
2024-05-19,,,75.0,,86.0,
2024-05-26,,,85.0,,92.0,
2024-06-02,,,89.0,,94.0,
2024-06-09,,,93.0,,96.0,
2024-06-16,,,94.0,,98.0,
2024-06-23,50.0,,97.0,,100.0,
2024-06-30,68.0,,99.0,,,33.0
2024-07-07,83.0,,,,,55.0
2024-07-14,89.0,,,,,69.0
2024-07-21,93.0,,,,,79.0
2024-07-28,97.0,,,,,87.0
2024-08-04,99.0,,,,,91.0
2024-08-11,100.0,,,,,94.0
2024-08-18,100.0,,,,,96.0
2024-08-25,,39.0,,,,98.0
2024-09-01,,55.0,,,,100.0
2024-09-08,,68.0,,,,100.0
2024-09-15,,77.0,,44.0,,
2024-09-22,,86.0,,57.0,,
2024-09-29,,92.0,,66.0,,
2024-10-06,,95.0,,76.0,,
2024-10-13,,98.0,,84.0,,
2024-10-20,,,,90.0,,
2024-10-27,,,,95.0,,
2024-11-03,,,,97.0,,
2024-11-10,,,,99.0,,
2025-04-13,,,,,15.0,
2025-04-20,,,,,35.0,
2025-04-27,,,,,54.0,
2025-05-04,,,48.0,,64.0,
2025-05-11,,,62.0,,71.0,
2025-05-18,,,69.0,,76.0,
2025-05-25,,,73.0,,79.0,
2025-06-01,,,78.0,,83.0,
2025-06-08,,,82.0,,90.0,
2025-06-15,,,88.0,,93.0,
2025-06-22,55.0,,92.0,,96.0,
2025-06-29,67.0,,95.0,,,20.0
2025-07-06,76.0,,97.0,,,45.0
2025-07-13,82.0,,,,,64.0
2025-07-20,88.0,,,,,74.0
2025-07-27,93.0,,,,,80.0
2025-08-03,96.0,,,,,85.0
2025-08-10,98.0,,,,,91.0
2025-08-17,100.0,,,,,94.0
2025-08-24,,39.0,,,,96.0
2025-08-31,,48.0,,,,98.0
2025-09-07,,58.0,,,,100.0
2025-09-14,,70.0,,43.0,,
2025-09-21,,78.0,,56.0,,
2025-09-28,,87.0,,66.0,,
