Date,Corn - Dented,Corn - Dough,Corn - Emerged,Corn - Harvested,Corn - Mature,Corn - Planted,Corn - Silking,Soybeans - Blooming,Soybeans - Dropping,Soybeans - Emerged,Soybeans - Harvested,Soybeans - Planted,Soybeans - Setting,Spring Wheat - Emerged,Spring Wheat - Harvested,Spring Wheat - Headed,Spring Wheat - Planted
2017-05-28,,,81.0,,,96.0,,,,39.0,,81.0,,97.0,,,100.0
2017-06-04,,,92.0,,,99.0,,,,68.0,,94.0,,100.0,,,
2017-06-11,,,98.0,,,,,,,87.0,,99.0,,100.0,,,
2017-06-18,,,100.0,,,,,,,97.0,,100.0,,,,22.0,
2017-06-25,,,,,,,,1.0,,100.0,,,,,,42.0,
2017-07-02,,,,,,,,9.0,,100.0,,,,,,72.0,
2017-07-09,,,,,,,3.0,25.0,,,,,1.0,,,95.0,
2017-07-16,,,,,,,20.0,48.0,,,,,10.0,,,100.0,
2017-07-23,,,,,,,61.0,70.0,,,,,20.0,,,100.0,
2017-07-30,,13.0,,,,,79.0,86.0,,,,,43.0,,3.0,,
2017-08-06,,36.0,,,,,93.0,95.0,,,,,71.0,,9.0,,
2017-08-13,2.0,54.0,,,,,96.0,97.0,,,,,84.0,,26.0,,
2017-08-20,13.0,72.0,,,,,,100.0,,,,,91.0,,42.0,,
2017-08-27,33.0,85.0,,,,,,,,,,,95.0,,65.0,,
2017-09-03,51.0,93.0,,,1.0,,,,2.0,,,,98.0,,89.0,,
2017-09-10,71.0,96.0,,,2.0,,,,13.0,,,,,,97.0,,
2017-09-17,86.0,,,,13.0,,,,36.0,,2.0,,,,,,
2017-09-24,93.0,,,1.0,33.0,,,,64.0,,7.0,,,,,,
2017-10-01,96.0,,,2.0,55.0,,,,82.0,,13.0,,,,,,
2017-10-08,,,,4.0,77.0,,,,93.0,,22.0,,,,,,
2017-10-15,,,,7.0,89.0,,,,98.0,,45.0,,,,,,
2017-10-22,,,,14.0,97.0,,,,100.0,,83.0,,,,,,
2017-10-29,,,,38.0,,,,,,,95.0,,,,,,
2017-11-05,,,,60.0,,,,,,,99.0,,,,,,
2017-11-12,,,,79.0,,,,,,,100.0,,,,,,
2017-11-19,,,,90.0,,,,,,,100.0,,,,,,
2017-11-26,,,,96.0,,,,,,,,,,,,,
2018-04-29,,,,,,,,,,,,,,,,,2.0
2018-05-06,,,,,,9.0,,,,,,1.0,,,,,27.0
2018-05-13,,,1.0,,,40.0,,,,,,11.0,,11.0,,,59.0
2018-05-20,,,24.0,,,77.0,,,,3.0,,48.0,,40.0,,,85.0
2018-05-27,,,66.0,,,93.0,,,,29.0,,80.0,,68.0,,,93.0
2018-06-03,,,87.0,,,98.0,,,,65.0,,93.0,,87.0,,,97.0
2018-06-10,,,97.0,,,,,,,87.0,,98.0,,98.0,,,
2018-06-17,,,99.0,,,,,,,96.0,,99.0,,99.0,,6.0,
2018-06-24,,,,,,,,2.0,,97.0,,,,,,36.0,
2018-07-01,,,,,,,1.0,13.0,,,,,,,,73.0,
2018-07-08,,,,,,,8.0,32.0,,,,,1.0,,,92.0,
2018-07-15,,,,,,,45.0,56.0,,,,,15.0,,,99.0,
2018-07-22,,3.0,,,,,77.0,74.0,,,,,35.0,,,100.0,
2018-07-29,,23.0,,,,,92.0,88.0,,,,,59.0,,1.0,,
2018-08-05,4.0,45.0,,,,,97.0,95.0,,,,,81.0,,13.0,,
2018-08-12,12.0,65.0,,,,,,99.0,,,,,92.0,,47.0,,
2018-08-19,26.0,82.0,,,,,,,,,,,97.0,,76.0,,
2018-08-26,45.0,92.0,,,,,,,1.0,,,,98.0,,94.0,,
2018-09-02,67.0,97.0,,,6.0,,,,9.0,,,,,,98.0,,
2018-09-09,83.0,,,,17.0,,,,24.0,,,,,,99.0,,
2018-09-16,92.0,,,1.0,42.0,,,,59.0,,7.0,,,,100.0,,
2018-09-23,96.0,,,3.0,66.0,,,,82.0,,15.0,,,,,,
2018-09-30,,,,8.0,87.0,,,,94.0,,27.0,,,,,,
2018-10-07,,,,15.0,96.0,,,,98.0,,37.0,,,,,,
2018-10-14,,,,18.0,97.0,,,,99.0,,38.0,,,,,,
2018-10-21,,,,35.0,,,,,,,62.0,,,,,,
2018-10-28,,,,58.0,,,,,,,87.0,,,,,,
2018-11-04,,,,78.0,,,,,,,94.0,,,,,,
2018-11-11,,,,87.0,,,,,,,97.0,,,,,,
2018-11-18,,,,93.0,,,,,,,98.0,,,,,,
2018-11-25,,,,96.0,,,,,,,99.0,,,,,,
2019-04-28,,,,,,2.0,,,,,,,,,,,2.0
2019-05-05,,,,,,6.0,,,,,,,,,,,7.0
2019-05-12,,,1.0,,,21.0,,,,,,3.0,,2.0,,,35.0
2019-05-19,,,6.0,,,56.0,,,,,,22.0,,17.0,,,76.0
2019-05-26,,,21.0,,,66.0,,,,3.0,,35.0,,51.0,,,87.0
2019-06-02,,,48.0,,,76.0,,,,16.0,,51.0,,73.0,,,95.0
2019-06-09,,,69.0,,,92.0,,,,43.0,,79.0,,87.0,,,97.0
2019-06-16,,,87.0,,,99.0,,,,70.0,,94.0,,99.0,,1.0,
2019-06-23,,,96.0,,,100.0,,,,87.0,,98.0,,,,14.0,
2019-06-30,,,99.0,,,,,,,95.0,,100.0,,,,36.0,
2019-07-07,,,100.0,,,,,3.0,,99.0,,100.0,,,,75.0,
2019-07-14,,,,,,,2.0,16.0,,100.0,,,,,,96.0,
2019-07-21,,,,,,,21.0,47.0,,,,,2.0,,,100.0,
2019-07-28,,3.0,,,,,54.0,69.0,,,,,27.0,,,100.0,
2019-08-04,,15.0,,,,,83.0,90.0,,,,,53.0,,1.0,,
2019-08-11,,30.0,,,,,96.0,97.0,,,,,74.0,,8.0,,
2019-08-18,1.0,55.0,,,,,98.0,99.0,,,,,87.0,,14.0,,
2019-08-25,7.0,74.0,,,,,,100.0,,,,,94.0,,45.0,,
2019-09-01,25.0,84.0,,,,,,100.0,,,,,97.0,,65.0,,
2019-09-08,42.0,90.0,,,1.0,,,,,,,,99.0,,78.0,,
2019-09-15,59.0,95.0,,,2.0,,,,14.0,,,,100.0,,83.0,,
2019-09-22,75.0,98.0,,,8.0,,,,36.0,,,,,,94.0,,
2019-09-29,88.0,,,,22.0,,,,60.0,,5.0,,,,97.0,,
2019-10-06,94.0,,,1.0,39.0,,,,80.0,,8.0,,,,98.0,,
2019-10-13,98.0,,,5.0,66.0,,,,92.0,,19.0,,,,98.0,,
2019-10-20,,,,11.0,89.0,,,,99.0,,42.0,,,,99.0,,
2019-10-27,,,,22.0,96.0,,,,100.0,,62.0,,,,,,
2019-11-03,,,,44.0,99.0,,,,,,80.0,,,,,,
2019-11-10,,,,63.0,,,,,,,91.0,,,,,,
2019-11-17,,,,77.0,,,,,,,97.0,,,,,,
2019-11-24,,,,86.0,,,,,,,98.0,,,,,,
2019-12-01,,,,91.0,,,,,,,99.0,,,,,,
2019-12-08,,,,93.0,,,,,,,,,,,,,
2020-04-19,,,,,,1.0,,,,,,,,,,,1.0
2020-04-26,,,,,,40.0,,,,,,5.0,,,,,6.0
2020-05-03,,,3.0,,,76.0,,,,,,35.0,,4.0,,,21.0
2020-05-10,,,32.0,,,89.0,,,,5.0,,57.0,,11.0,,,40.0
2020-05-17,,,57.0,,,95.0,,,,18.0,,74.0,,29.0,,,70.0
2020-05-24,,,80.0,,,98.0,,,,46.0,,88.0,,51.0,,,86.0
2020-05-31,,,91.0,,,99.0,,,,73.0,,95.0,,71.0,,,97.0
2020-06-07,,,97.0,,,100.0,,,,89.0,,99.0,,96.0,,,98.0
2020-06-14,,,99.0,,,,,,,98.0,,99.0,,97.0,,2.0,
2020-06-21,,,,,,,,1.0,,99.0,,100.0,,,,12.0,
2020-06-28,,,,,,,,7.0,,99.0,,,,,,45.0,
2020-07-05,,,,,,,2.0,43.0,,,,,,,,85.0,
2020-07-12,,,,,,,21.0,67.0,,,,,10.0,,,94.0,
2020-07-19,,4.0,,,,,70.0,81.0,,,,,29.0,,,98.0,
2020-07-26,,15.0,,,,,90.0,89.0,,,,,55.0,,1.0,100.0,
2020-08-02,,37.0,,,,,97.0,96.0,,,,,74.0,,7.0,,
2020-08-09,2.0,62.0,,,,,99.0,98.0,,,,,91.0,,19.0,,
2020-08-16,12.0,81.0,,,,,,99.0,,,,,97.0,,31.0,,
2020-08-23,33.0,91.0,,,,,,,,,,,98.0,,54.0,,
2020-08-30,63.0,97.0,,,3.0,,,,2.0,,,,99.0,,85.0,,
2020-09-06,86.0,99.0,,,23.0,,,,15.0,,,,,,94.0,,
2020-09-13,95.0,,,,45.0,,,,41.0,,,,,,97.0,,
2020-09-20,97.0,,,1.0,63.0,,,,71.0,,7.0,,,,99.0,,
2020-09-27,,,,6.0,85.0,,,,90.0,,31.0,,,,,,
2020-10-04,,,,14.0,94.0,,,,95.0,,61.0,,,,,,
2020-10-11,,,,34.0,98.0,,,,98.0,,87.0,,,,,,
2020-10-18,,,,63.0,99.0,,,,99.0,,96.0,,,,,,
2020-10-25,,,,72.0,,,,,,,98.0,,,,,,
2020-11-01,,,,83.0,,,,,,,99.0,,,,,,
2020-11-08,,,,93.0,,,,,,,99.0,,,,,,
2020-11-15,,,,97.0,,,,,,,100.0,,,,,,
2021-04-04,,,,,,,,,,,,,,,,,1.0
2021-04-11,,,,,,,,,,,,,,,,,7.0
2021-04-18,,,,,,3.0,,,,,,,,,,,10.0
2021-04-25,,,,,,18.0,,,,,,2.0,,1.0,,,19.0
2021-05-02,,,1.0,,,60.0,,,,,,23.0,,19.0,,,72.0
2021-05-09,,,8.0,,,85.0,,,,,,65.0,,50.0,,,97.0
2021-05-16,,,39.0,,,95.0,,,,10.0,,88.0,,84.0,,,99.0
2021-05-23,,,77.0,,,98.0,,,,49.0,,97.0,,93.0,,,100.0
2021-05-30,,,89.0,,,99.0,,,,81.0,,99.0,,97.0,,,100.0
2021-06-06,,,96.0,,,,,,,93.0,,100.0,,100.0,,,
2021-06-13,,,98.0,,,,,,,97.0,,100.0,,100.0,,19.0,
2021-06-20,,,,,,,,3.0,,99.0,,100.0,,,,62.0,
2021-06-27,,,,,,,,13.0,,100.0,,,,,,84.0,
2021-07-04,,,,,,,5.0,38.0,,,,,2.0,,,97.0,
2021-07-11,,,,,,,16.0,60.0,,,,,11.0,,,100.0,
2021-07-18,,3.0,,,,,62.0,79.0,,,,,26.0,,,100.0,
2021-07-25,,11.0,,,,,90.0,92.0,,,,,52.0,,3.0,100.0,
2021-08-01,,28.0,,,,,96.0,96.0,,,,,69.0,,32.0,,
2021-08-08,4.0,44.0,,,,,99.0,98.0,,,,,84.0,,76.0,,
2021-08-15,13.0,65.0,,,,,,98.0,,,,,91.0,,92.0,,
2021-08-22,30.0,86.0,,,,,,100.0,3.0,,,,96.0,,98.0,,
2021-08-29,50.0,95.0,,,6.0,,,,9.0,,,,98.0,,99.0,,
2021-09-05,71.0,97.0,,,18.0,,,,25.0,,,,100.0,,100.0,,
2021-09-12,86.0,,,3.0,34.0,,,,49.0,,,,,,,,
2021-09-19,94.0,,,6.0,59.0,,,,74.0,,11.0,,,,,,
2021-09-26,97.0,,,10.0,75.0,,,,90.0,,30.0,,,,,,
2021-10-03,,,,20.0,90.0,,,,97.0,,62.0,,,,,,
2021-10-10,,,,36.0,97.0,,,,98.0,,83.0,,,,,,
2021-10-17,,,,53.0,99.0,,,,99.0,,91.0,,,,,,
2021-10-24,,,,70.0,,,,,,,95.0,,,,,,
2021-10-31,,,,83.0,,,,,,,98.0,,,,,,
2021-11-07,,,,92.0,,,,,,,99.0,,,,,,
2021-11-14,,,,97.0,,,,,,,100.0,,,,,,
2021-11-21,,,,99.0,,,,,,,100.0,,,,,,
2022-05-01,,,,,,,,,,,,,,,,,1.0
2022-05-08,,,,,,9.0,,,,,,2.0,,,,,2.0
2022-05-15,,,2.0,,,35.0,,,,,,11.0,,1.0,,,5.0
2022-05-22,,,24.0,,,60.0,,,,7.0,,32.0,,4.0,,,11.0
2022-05-29,,,42.0,,,82.0,,,,20.0,,55.0,,10.0,,,53.0
2022-06-05,,,66.0,,,93.0,,,,39.0,,72.0,,33.0,,,65.0
2022-06-12,,,85.0,,,98.0,,,,62.0,,88.0,,65.0,,,92.0
2022-06-19,,,97.0,,,,,,,83.0,,97.0,,93.0,,,98.0
2022-06-26,,,,,,,,1.0,,93.0,,100.0,,100.0,,1.0,
2022-07-03,,,,,,,1.0,6.0,,98.0,,,,,,5.0,
2022-07-10,,,,,,,2.0,22.0,,,,,1.0,,,34.0,
2022-07-17,,2.0,,,,,18.0,46.0,,,,,10.0,,,71.0,
2022-07-24,,4.0,,,,,49.0,69.0,,,,,18.0,,,94.0,
2022-07-31,,13.0,,,,,75.0,81.0,,,,,36.0,,,100.0,
2022-08-07,1.0,26.0,,,,,90.0,91.0,,,,,60.0,,2.0,,
2022-08-14,4.0,44.0,,,,,97.0,96.0,,,,,77.0,,12.0,,
2022-08-21,12.0,62.0,,,,,99.0,98.0,,,,,88.0,,30.0,,
2022-08-28,23.0,83.0,,,,,,,,,,,95.0,,44.0,,
2022-09-04,47.0,92.0,,,1.0,,,,,,,,98.0,,57.0,,
2022-09-11,73.0,97.0,,,8.0,,,,6.0,,,,99.0,,75.0,,
2022-09-18,86.0,,,,21.0,,,,31.0,,1.0,,,,92.0,,
2022-09-25,94.0,,,1.0,49.0,,,,61.0,,4.0,,,,98.0,,
2022-10-02,98.0,,,5.0,75.0,,,,86.0,,29.0,,,,,,
2022-10-09,,,,14.0,92.0,,,,96.0,,63.0,,,,,,
2022-10-16,,,,36.0,96.0,,,,99.0,,83.0,,,,,,
2022-10-23,,,,61.0,98.0,,,,,,95.0,,,,,,
2022-10-30,,,,80.0,,,,,,,98.0,,,,,,
2022-11-06,,,,92.0,,,,,,,100.0,,,,,,
2022-11-13,,,,96.0,,,,,,,100.0,,,,,,
2022-11-20,,,,98.0,,,,,,,,,,,,,
2023-04-23,,,,,,1.0,,,,,,,,,,,
2023-04-30,,,,,,5.0,,,,,,1.0,,,,,
2023-05-07,,,2.0,,,38.0,,,,,,13.0,,,,,7.0
2023-05-14,,,15.0,,,61.0,,,,4.0,,30.0,,3.0,,,28.0
2023-05-21,,,44.0,,,80.0,,,,19.0,,53.0,,30.0,,,74.0
2023-05-28,,,69.0,,,93.0,,,,44.0,,86.0,,65.0,,,97.0
2023-06-04,,,88.0,,,98.0,,,,74.0,,94.0,,87.0,,,98.0
2023-06-11,,,94.0,,,,,,,91.0,,99.0,,96.0,,,99.0
2023-06-18,,,99.0,,,,,,,98.0,,,,99.0,,4.0,
2023-06-25,,,,,,,2.0,9.0,,100.0,,,,,,33.0,
2023-07-02,,,,,,,3.0,29.0,,,,,1.0,,,67.0,
2023-07-09,,1.0,,,,,15.0,51.0,,,,,12.0,,,90.0,
2023-07-16,,5.0,,,,,44.0,66.0,,,,,27.0,,,95.0,
2023-07-23,,18.0,,,,,72.0,78.0,,,,,43.0,,,97.0,
2023-07-30,,39.0,,,,,91.0,88.0,,,,,60.0,,1.0,100.0,
2023-08-06,8.0,56.0,,,,,96.0,93.0,,,,,71.0,,13.0,,
2023-08-13,17.0,77.0,,,,,99.0,96.0,,,,,85.0,,28.0,,
2023-08-20,33.0,87.0,,,,,,99.0,,,,,92.0,,41.0,,
2023-08-27,51.0,94.0,,,2.0,,,,3.0,,,,97.0,,57.0,,
2023-09-03,71.0,97.0,,,11.0,,,,12.0,,,,99.0,,85.0,,
2023-09-10,86.0,99.0,,1.0,37.0,,,,31.0,,,,,,94.0,,
2023-09-17,93.0,,,6.0,60.0,,,,59.0,,6.0,,,,98.0,,
2023-09-24,97.0,,,11.0,80.0,,,,81.0,,19.0,,,,100.0,,
2023-10-01,,,,18.0,90.0,,,,93.0,,33.0,,,,,,
2023-10-08,,,,31.0,94.0,,,,97.0,,57.0,,,,,,
2023-10-15,,,,45.0,98.0,,,,99.0,,76.0,,,,,,
2023-10-22,,,,62.0,,,,,,,88.0,,,,,,
2023-10-29,,,,75.0,,,,,,,94.0,,,,,,
2023-11-05,,,,86.0,,,,,,,97.0,,,,,,
2023-11-12,,,,93.0,,,,,,,99.0,,,,,,
2023-11-19,,,,97.0,,,,,,,,,,,,,
2023-11-26,,,,98.0,,,,,,,,,,,,,
2024-04-07,,,,,,,,,,,,,,,,,2.0
2024-04-14,,,,,,3.0,,,,,,1.0,,,,,3.0
2024-04-21,,,,,,8.0,,,,,,5.0,,2.0,,,18.0
2024-04-28,,,1.0,,,30.0,,,,,,14.0,,5.0,,,48.0
2024-05-05,,,4.0,,,42.0,,,,,,17.0,,18.0,,,51.0
2024-05-12,,,14.0,,,56.0,,,,4.0,,26.0,,40.0,,,71.0
2024-05-19,,,38.0,,,81.0,,,,15.0,,51.0,,67.0,,,91.0
2024-05-26,,,58.0,,,89.0,,,,31.0,,72.0,,82.0,,,96.0
2024-06-02,,,74.0,,,93.0,,,,49.0,,80.0,,93.0,,,98.0
2024-06-09,,,84.0,,,96.0,,,,68.0,,87.0,,96.0,,,99.0
2024-06-16,,,93.0,,,,,,,79.0,,94.0,,98.0,,3.0,
2024-06-23,,,97.0,,,,,8.0,,89.0,,97.0,,,,25.0,
2024-06-30,,,,,,,3.0,19.0,,97.0,,,,,,61.0,
2024-07-07,,,,,,,4.0,32.0,,,,,2.0,,,76.0,
2024-07-14,,,,,,,16.0,46.0,,,,,7.0,,,93.0,
2024-07-21,,3.0,,,,,38.0,60.0,,,,,20.0,,,97.0,
2024-07-28,,13.0,,,,,63.0,73.0,,,,,33.0,,2.0,99.0,
2024-08-04,,31.0,,,,,81.0,83.0,,,,,48.0,,3.0,100.0,
2024-08-11,2.0,49.0,,,,,91.0,92.0,,,,,64.0,,9.0,,
2024-08-18,6.0,62.0,,,1.0,,95.0,96.0,,,,,78.0,,31.0,,
2024-08-25,19.0,78.0,,,5.0,,,,,,,,89.0,,54.0,,
2024-09-01,35.0,86.0,,,7.0,,,,1.0,,,,92.0,,75.0,,
2024-09-08,55.0,93.0,,,12.0,,,,4.0,,,,96.0,,89.0,,
2024-09-15,69.0,,,1.0,27.0,,,,23.0,,1.0,,,,99.0,,
2024-09-22,84.0,,,4.0,46.0,,,,48.0,,7.0,,,,100.0,,
2024-09-29,93.0,,,7.0,67.0,,,,78.0,,35.0,,,,,,
2024-10-06,,,,15.0,82.0,,,,91.0,,68.0,,,,,,
2024-10-13,,,,43.0,94.0,,,,98.0,,88.0,,,,,,
2024-10-20,,,,66.0,98.0,,,,,,95.0,,,,,,
2024-10-27,,,,85.0,,,,,,,98.0,,,,,,
2024-11-03,,,,95.0,,,,,,,100.0,,,,,,
2024-11-10,,,,98.0,,,,,,,100.0,,,,,,
2025-04-13,,,,,,1.0,,,,,,,,,,,1.0
2025-04-20,,,,,,9.0,,,,,,3.0,,,,,3.0
2025-04-27,,,,,,26.0,,,,,,13.0,,,,,14.0
2025-05-04,,,3.0,,,44.0,,,,1.0,,22.0,,5.0,,,30.0
2025-05-11,,,30.0,,,75.0,,,,14.0,,52.0,,20.0,,,67.0
2025-05-18,,,58.0,,,92.0,,,,32.0,,81.0,,56.0,,,93.0
2025-05-25,,,78.0,,,97.0,,,,56.0,,91.0,,80.0,,,97.0
2025-06-01,,,87.0,,,99.0,,,,73.0,,97.0,,95.0,,,100.0
2025-06-08,,,94.0,,,100.0,,,,86.0,,99.0,,100.0,,,
2025-06-15,,,98.0,,,,,,,94.0,,100.0,,100.0,,,
2025-06-22,,,100.0,,,,,5.0,,97.0,,100.0,,100.0,,7.0,
2025-06-29,,,,,,,1.0,12.0,,99.0,,,,100.0,,38.0,
2025-07-06,,,,,,,6.0,29.0,,100.0,,,5.0,,,59.0,
2025-07-13,,1.0,,,,,19.0,43.0,,,,,13.0,,,86.0,
2025-07-20,,2.0,,,,,44.0,60.0,,,,,22.0,,,99.0,
2025-07-27,,8.0,,,,,73.0,77.0,,,,,36.0,,,100.0,
2025-08-03,,23.0,,,,,87.0,85.0,,,,,57.0,,5.0,100.0,
2025-08-10,5.0,42.0,,,,,95.0,95.0,,,,,70.0,,15.0,,
2025-08-17,14.0,62.0,,,,,97.0,97.0,,,,,84.0,,49.0,,
2025-08-24,28.0,80.0,,,2.0,,,,,,,,93.0,,73.0,,
2025-08-31,43.0,90.0,,,8.0,,,,1.0,,,,96.0,,89.0,,
2025-09-07,61.0,94.0,,,14.0,,,,4.0,,,,99.0,,97.0,,
2025-09-14,78.0,,,,26.0,,,,18.0,,,,,,100.0,,
2025-09-21,88.0,,,1.0,43.0,,,,46.0,,3.0,,,,100.0,,
2025-09-28,95.0,,,5.0,62.0,,,,78.0,,22.0,,,,,,
