Date,Soybeans - Blooming,Soybeans - Dropping,Soybeans - Emerged,Soybeans - Harvested,Soybeans - Planted,Soybeans - Setting
2017-10-29,,,,100.0,,
2017-11-05,,,,100.0,,
2017-11-12,,,,100.0,,
2017-11-19,,,,100.0,,
2018-04-22,,,,,26.0,
2018-04-29,,,,,40.0,
2018-05-06,,,,,64.0,
2018-05-13,,,62.0,,88.0,
2018-05-20,,,84.0,,93.0,
2018-05-27,,,92.0,,96.0,
2018-06-03,,,94.0,,97.0,
2018-06-10,,,97.0,,99.0,
2018-06-17,,,99.0,,100.0,
2018-06-24,73.0,,100.0,,,
2018-07-01,82.0,,,,,
2018-07-08,92.0,,,,,75.0
2018-07-15,96.0,,,,,82.0
2018-07-22,98.0,,,,,88.0
2018-07-29,99.0,,,,,95.0
2018-08-05,100.0,,,,,99.0
2018-08-12,100.0,,,,,100.0
2018-08-19,,,,,,100.0
2018-08-26,,54.0,,,,100.0
2018-09-02,,65.0,,,,
2018-09-09,,78.0,,,,
2018-09-16,,83.0,,51.0,,
2018-09-23,,91.0,,66.0,,
2018-09-30,,93.0,,69.0,,
2018-10-07,,96.0,,79.0,,
2018-10-14,,99.0,,86.0,,
2018-10-21,,,,91.0,,
2018-10-28,,,,93.0,,
2018-11-04,,,,95.0,,
2018-11-11,,,,96.0,,
2018-11-18,,,,97.0,,
2018-11-25,,,,98.0,,
2019-04-21,,,,,16.0,
2019-04-28,,,,,24.0,
2019-05-05,,,,,46.0,
2019-05-12,,,,,53.0,
2019-05-19,,,46.0,,67.0,
2019-05-26,,,64.0,,82.0,
2019-06-02,,,77.0,,91.0,
2019-06-09,,,88.0,,95.0,
2019-06-16,,,94.0,,98.0,
2019-06-23,,,98.0,,99.0,
2019-06-30,,,99.0,,100.0,
2019-07-07,73.0,,100.0,,100.0,
2019-07-14,84.0,,100.0,,,
2019-07-21,90.0,,,,,72.0
2019-07-28,95.0,,,,,81.0
2019-08-04,99.0,,,,,91.0
2019-08-11,100.0,,,,,96.0
2019-08-18,100.0,,,,,98.0
2019-08-25,100.0,,,,,100.0
2019-09-01,100.0,,,,,100.0
2019-09-08,,,,,,100.0
2019-09-15,,71.0,,,,100.0
2019-09-22,,81.0,,,,
2019-09-29,,91.0,,68.0,,
2019-10-06,,96.0,,80.0,,
2019-10-13,,99.0,,89.0,,
2019-10-20,,100.0,,94.0,,
2019-10-27,,100.0,,98.0,,
2019-11-03,,,,99.0,,
2019-11-10,,,,100.0,,
2019-11-17,,,,100.0,,
2019-11-24,,,,100.0,,
2019-12-01,,,,100.0,,
2020-04-19,,,,,24.0,
2020-04-26,,,,,33.0,
2020-05-03,,,,,51.0,
2020-05-10,,,46.0,,68.0,
2020-05-17,,,55.0,,75.0,
2020-05-24,,,70.0,,83.0,
2020-05-31,,,79.0,,88.0,
2020-06-07,,,87.0,,94.0,
2020-06-14,,,91.0,,98.0,
2020-06-21,55.0,,97.0,,100.0,
2020-06-28,72.0,,100.0,,,
2020-07-05,86.0,,,,,45.0
2020-07-12,91.0,,,,,68.0
2020-07-19,94.0,,,,,80.0
2020-07-26,96.0,,,,,86.0
2020-08-02,99.0,,,,,92.0
2020-08-09,100.0,,,,,96.0
2020-08-16,100.0,,,,,99.0
2020-08-23,,35.0,,,,100.0
2020-08-30,,57.0,,,,100.0
2020-09-06,,67.0,,,,
2020-09-13,,80.0,,,,
2020-09-20,,87.0,,66.0,,
2020-09-27,,92.0,,72.0,,
2020-10-04,,95.0,,83.0,,
2020-10-11,,98.0,,90.0,,
2020-10-18,,100.0,,93.0,,
2020-10-25,,,,97.0,,
2020-11-01,,,,99.0,,
2020-11-08,,,,100.0,,
2020-11-15,,,,100.0,,
2021-04-18,,,,,10.0,
2021-04-25,,,,,15.0,
2021-05-02,,,,,24.0,
2021-05-09,,,22.0,,40.0,
2021-05-16,,,32.0,,45.0,
2021-05-23,,,44.0,,58.0,
2021-05-30,,,56.0,,79.0,
2021-06-06,,,78.0,,86.0,
2021-06-13,,,85.0,,92.0,
2021-06-20,47.0,,91.0,,95.0,
2021-06-27,68.0,,94.0,,,
2021-07-04,77.0,,,,,43.0
2021-07-11,85.0,,,,,58.0
2021-07-18,92.0,,,,,75.0
2021-07-25,95.0,,,,,82.0
2021-08-01,98.0,,,,,84.0
2021-08-08,100.0,,,,,86.0
2021-08-15,100.0,,,,,92.0
2021-08-22,100.0,19.0,,,,95.0
2021-08-29,,31.0,,,,100.0
2021-09-05,,43.0,,,,100.0
2021-09-12,,61.0,,,,
2021-09-19,,67.0,,41.0,,
2021-09-26,,76.0,,54.0,,
2021-10-03,,81.0,,59.0,,
2021-10-10,,89.0,,73.0,,
2021-10-17,,95.0,,82.0,,
2021-10-24,,,,87.0,,
2021-10-31,,,,94.0,,
2021-11-07,,,,98.0,,
2021-11-14,,,,100.0,,
2021-11-21,,,,100.0,,
2022-04-17,,,,,23.0,
2022-04-24,,,,,39.0,
2022-05-01,,,,,59.0,
2022-05-08,,,55.0,,72.0,
2022-05-15,,,70.0,,89.0,
2022-05-22,,,88.0,,97.0,
2022-05-29,,,96.0,,99.0,
2022-06-05,,,98.0,,100.0,
2022-06-12,,,99.0,,100.0,
2022-06-19,,,100.0,,100.0,
2022-06-26,82.0,,100.0,,100.0,
2022-07-03,85.0,,100.0,,,68.0
2022-07-10,93.0,,,,,78.0
2022-07-17,96.0,,,,,82.0
2022-07-24,97.0,,,,,88.0
2022-07-31,98.0,,,,,93.0
2022-08-07,100.0,,,,,96.0
2022-08-14,100.0,,,,,99.0
2022-08-21,100.0,,,,,100.0
2022-08-28,,55.0,,,,100.0
2022-09-04,,68.0,,,,100.0
2022-09-11,,74.0,,,,100.0
2022-09-18,,82.0,,48.0,,
2022-09-25,,90.0,,68.0,,
2022-10-02,,97.0,,77.0,,
2022-10-09,,99.0,,87.0,,
2022-10-16,,100.0,,93.0,,
2022-10-23,,,,96.0,,
2022-10-30,,,,98.0,,
2022-11-06,,,,100.0,,
2022-11-13,,,,100.0,,
2023-04-16,,,,,30.0,
2023-04-23,,,,,41.0,
2023-04-30,,,,,59.0,
2023-05-07,,,56.0,,71.0,
2023-05-14,,,66.0,,78.0,
2023-05-21,,,77.0,,84.0,
2023-05-28,,,83.0,,92.0,
2023-06-04,,,91.0,,96.0,
2023-06-11,,,95.0,,99.0,
2023-06-18,,,98.0,,,
2023-06-25,68.0,,100.0,,,
2023-07-02,73.0,,,,,29.0
2023-07-09,85.0,,,,,53.0
2023-07-16,92.0,,,,,70.0
2023-07-23,96.0,,,,,86.0
2023-07-30,99.0,,,,,88.0
2023-08-06,100.0,,,,,91.0
2023-08-13,100.0,,,,,96.0
2023-08-20,100.0,,,,,99.0
2023-08-27,,51.0,,,,100.0
2023-09-03,,74.0,,,,100.0
2023-09-10,,81.0,,,,
2023-09-17,,88.0,,66.0,,
2023-09-24,,95.0,,79.0,,
2023-10-01,,97.0,,86.0,,
2023-10-08,,100.0,,93.0,,
2023-10-15,,100.0,,95.0,,
2023-10-22,,,,98.0,,
2023-10-29,,,,100.0,,
2023-11-05,,,,100.0,,
2023-11-12,,,,100.0,,
2024-04-14,,,,,20.0,
2024-04-21,,,,,42.0,
2024-04-28,,,,,49.0,
2024-05-05,,,46.0,,60.0,
2024-05-12,,,56.0,,69.0,
2024-05-19,,,65.0,,79.0,
2024-05-26,,,77.0,,85.0,
2024-06-02,,,83.0,,90.0,
2024-06-09,,,88.0,,92.0,
2024-06-16,,,91.0,,95.0,
2024-06-23,48.0,,94.0,,98.0,
2024-06-30,60.0,,96.0,,,28.0
2024-07-07,77.0,,,,,45.0
2024-07-14,90.0,,,,,59.0
2024-07-21,92.0,,,,,70.0
2024-07-28,96.0,,,,,79.0
2024-08-04,99.0,,,,,90.0
2024-08-11,100.0,,,,,93.0
2024-08-18,100.0,,,,,94.0
2024-08-25,,40.0,,,,95.0
2024-09-01,,60.0,,,,97.0
2024-09-08,,68.0,,,,100.0
2024-09-15,,74.0,,46.0,,
2024-09-22,,79.0,,63.0,,
2024-09-29,,85.0,,71.0,,
2024-10-06,,97.0,,77.0,,
2024-10-13,,99.0,,82.0,,
2024-10-20,,,,94.0,,
2024-10-27,,,,97.0,,
2024-11-03,,,,99.0,,
2024-11-10,,,,100.0,,
2025-04-13,,,,,22.0,
2025-04-20,,,,,56.0,
2025-04-27,,,,,70.0,
2025-05-04,,,57.0,,80.0,
2025-05-11,,,71.0,,81.0,
2025-05-18,,,80.0,,89.0,
2025-05-25,,,86.0,,94.0,
2025-06-01,,,90.0,,96.0,
2025-06-08,,,95.0,,98.0,
2025-06-15,,,97.0,,100.0,
2025-06-22,75.0,,99.0,,100.0,
2025-06-29,87.0,,100.0,,,40.0
2025-07-06,94.0,,100.0,,,64.0
2025-07-13,96.0,,,,,82.0
2025-07-20,99.0,,,,,87.0
2025-07-27,100.0,,,,,89.0
2025-08-03,100.0,,,,,92.0
2025-08-10,100.0,,,,,94.0
2025-08-17,100.0,,,,,97.0
2025-08-24,,58.0,,,,99.0
2025-08-31,,71.0,,,,100.0
2025-09-07,,78.0,,,,100.0
2025-09-14,,84.0,,63.0,,
2025-09-21,,90.0,,74.0,,
2025-09-28,,93.0,,78.0,,
